"","C.Block","number.races","race","percent.pop"
"657","060750129011","1","Black",0.00180831826401447
"658","060750129012","1","Black",0
"659","060750129021","1","Black",0.00890688259109312
"660","060750129022","1","Black",0.0283400809716599
"661","060750129023","1","Black",0
"662","060750130001","1","Black",0
"663","060750130002","1","Black",0
"664","060750130003","1","Black",0
"665","060750130004","1","Black",0
"666","060750131011","1","Black",0.0227008149010477
"667","060750131012","1","Black",0.0323203087313073
"668","060750131021","1","Black",0
"669","060750131022","1","Black",0.000668449197860963
"670","060750132001","1","Black",0.0416032470826991
"671","060750132002","1","Black",0
"672","060750132003","1","Black",0.00316957210776545
"673","060750133001","1","Black",0
"674","060750133002","1","Black",0.00607638888888889
"675","060750133003","1","Black",0.0674904942965779
"676","060750133004","1","Black",0
"677","060750133005","1","Black",0
"678","060750134001","1","Black",0
"679","060750134002","1","Black",0.0322404371584699
"680","060750134003","1","Black",0
"681","060750135001","1","Black",0.0186190845616757
"682","060750135002","1","Black",0.0145817344589409
"683","060750151001","1","Black",0
"684","060750151002","1","Black",0
"685","060750152001","1","Black",0.0697508896797153
"686","060750152002","1","Black",0.0363336085879438
"687","060750152003","1","Black",0
"688","060750153001","1","Black",0.0602536997885835
"689","060750153002","1","Black",0.110714285714286
"690","060750154001","1","Black",0
"691","060750154002","1","Black",0.0527859237536657
"692","060750154003","1","Black",0.0390243902439024
"693","060750154004","1","Black",0
"694","060750154005","1","Black",0.0606498194945848
"695","060750155001","1","Black",0.0220369267421084
"696","060750155002","1","Black",0.038860103626943
"697","060750155003","1","Black",0.19136690647482
"698","060750156001","1","Black",0.0325732899022801
"699","060750156002","1","Black",0.0168324407039021
